ID,Design,Year,LU,Species,Valley,Prove,Elevation,SiteName
O4Fa004,IS,2021,106.8,Fagus,Ossau,O4,400,BagQu
O4Fa003,IS,2021,105.7142857,Fagus,Ossau,O4,400,BagQu
O4Fa002,IS,2021,106.9230769,Fagus,Ossau,O4,400,BagQu
O4Fa001,IS,2021,95.82608696,Fagus,Ossau,O4,400,BagQu
O4Fa019,IS,2021,106.9230769,Fagus,Ossau,O4,400,BagQu
O4Fa010,IS,2021,96.14814815,Fagus,Ossau,O4,400,BagQu
O4Fa009,IS,2021,94.96969697,Fagus,Ossau,O4,400,BagQu
O4Fa020,IS,2021,96.75,Fagus,Ossau,O4,400,BagQu
O4Fa017,IS,2021,95.72727273,Fagus,Ossau,O4,400,BagQu
O4Fa008,IS,2021,95.91666667,Fagus,Ossau,O4,400,BagQu
O4Fa016,IS,2021,116.6315789,Fagus,Ossau,O4,400,BagQu
O4Fa015,IS,2021,127.5,Fagus,Ossau,O4,400,BagQu
O4Fa013,IS,2021,107.75,Fagus,Ossau,O4,400,BagQu
O4Fa007,IS,2021,103.3333333,Fagus,Ossau,O4,400,BagQu
O4Fa006,IS,2021,113.375,Fagus,Ossau,O4,400,BagQu
O4Fa021,IS,2021,109.04,Fagus,Ossau,O4,400,BagQu
O4Fa023,IS,2021,114,Fagus,Ossau,O4,400,BagQu
O4Fa025,IS,2021,96.63636364,Fagus,Ossau,O4,400,BagQu
O4Fa027,IS,2021,97.6,Fagus,Ossau,O4,400,BagQu
O16Fa020,IS,2021,147.4705882,Fagus,Ossau,O16,1600,Artouste
O16Fa019,IS,2021,139,Fagus,Ossau,O16,1600,Artouste
O16Fa002,IS,2021,137.5,Fagus,Ossau,O16,1600,Artouste
O16Fa001,IS,2021,130.0769231,Fagus,Ossau,O16,1600,Artouste
O16Fa003,IS,2021,139,Fagus,Ossau,O16,1600,Artouste
O16Fa004,IS,2021,141,Fagus,Ossau,O16,1600,Artouste
O16Fa006,IS,2021,147.25,Fagus,Ossau,O16,1600,Artouste
O16Fa005,IS,2021,138.3333333,Fagus,Ossau,O16,1600,Artouste
O16Fa007,IS,2021,147.4705882,Fagus,Ossau,O16,1600,Artouste
O16Fa008,IS,2021,143.5,Fagus,Ossau,O16,1600,Artouste
O16Fa010,IS,2021,138.4285714,Fagus,Ossau,O16,1600,Artouste
O16Fa009,IS,2021,139,Fagus,Ossau,O16,1600,Artouste
O16Fa011,IS,2021,139,Fagus,Ossau,O16,1600,Artouste
O16Fa012,IS,2021,147.4705882,Fagus,Ossau,O16,1600,Artouste
O16Fa013,IS,2021,142.4285714,Fagus,Ossau,O16,1600,Artouste
O16Fa014,IS,2021,137.9333333,Fagus,Ossau,O16,1600,Artouste
O16Fa015,IS,2021,144.3333333,Fagus,Ossau,O16,1600,Artouste
O16Fa016,IS,2021,138,Fagus,Ossau,O16,1600,Artouste
O16Fa017,IS,2021,139,Fagus,Ossau,O16,1600,Artouste
O16Fa018,IS,2021,144.6842105,Fagus,Ossau,O16,1600,Artouste
O16Fa021,IS,2021,143.5,Fagus,Ossau,O16,1600,Artouste
O16Fa023,IS,2021,147.8421053,Fagus,Ossau,O16,1600,Artouste
O16Fa024,IS,2021,147.9230769,Fagus,Ossau,O16,1600,Artouste
O16Fa025,IS,2021,147.9230769,Fagus,Ossau,O16,1600,Artouste
O16Fa026,IS,2021,147.6666667,Fagus,Ossau,O16,1600,Artouste
O16Fa027,IS,2021,144.3333333,Fagus,Ossau,O16,1600,Artouste
O16Fa022,IS,2021,147.6666667,Fagus,Ossau,O16,1600,Artouste
O8Fa008,IS,2021,111.6666667,Fagus,Ossau,O8,800,LH
O8Fa007,IS,2021,108.24,Fagus,Ossau,O8,800,LH
O8Fa006,IS,2021,112,Fagus,Ossau,O8,800,LH
O8Fa005,IS,2021,117.3684211,Fagus,Ossau,O8,800,LH
O8Fa001,IS,2021,118.3050847,Fagus,Ossau,O8,800,LH
O8Fa004,IS,2021,120,Fagus,Ossau,O8,800,LH
O8Fa009,IS,2021,113.75,Fagus,Ossau,O8,800,LH
O8Fa003,IS,2021,127.2222222,Fagus,Ossau,O8,800,LH
O8Fa002,IS,2021,116.6666667,Fagus,Ossau,O8,800,LH
O8Fa010,IS,2021,116.6666667,Fagus,Ossau,O8,800,LH
O8Fa021,IS,2021,117.5,Fagus,Ossau,O8,800,LH
O8Fa022,IS,2021,116.6666667,Fagus,Ossau,O8,800,LH
O8Fa023,IS,2021,117.3684211,Fagus,Ossau,O8,800,LH
O8Fa024,IS,2021,116.875,Fagus,Ossau,O8,800,LH
O8Fa029,IS,2021,127.0588235,Fagus,Ossau,O8,800,LH
O8Fa027,IS,2021,118.9473684,Fagus,Ossau,O8,800,LH
O8Fa028,IS,2021,123.75,Fagus,Ossau,O8,800,LH
O8Fa030,IS,2021,113.75,Fagus,Ossau,O8,800,LH
O8Fa025,IS,2021,127.4358974,Fagus,Ossau,O8,800,LH
O8Fa026,IS,2021,119.4444444,Fagus,Ossau,O8,800,LH
O12Fa001,IS,2021,127.5,Fagus,Ossau,O12,1200,Gabas
O12Fa002,IS,2021,126.875,Fagus,Ossau,O12,1200,Gabas
O12Fa003,IS,2021,119.625,Fagus,Ossau,O12,1200,Gabas
O12Fa011,IS,2021,126.875,Fagus,Ossau,O12,1200,Gabas
O12Fa004,IS,2021,119.4193548,Fagus,Ossau,O12,1200,Gabas
O12Fa005,IS,2021,127.0588235,Fagus,Ossau,O12,1200,Gabas
O12Fa007,IS,2021,117.6315789,Fagus,Ossau,O12,1200,Gabas
O12Fa006,IS,2021,126.6666667,Fagus,Ossau,O12,1200,Gabas
O12Fa008,IS,2021,127.5,Fagus,Ossau,O12,1200,Gabas
O12Fa009,IS,2021,124.4444444,Fagus,Ossau,O12,1200,Gabas
O12Fa010,IS,2021,126.875,Fagus,Ossau,O12,1200,Gabas
O12Fa012,IS,2021,127.3684211,Fagus,Ossau,O12,1200,Gabas
O12Fa013,IS,2021,123.75,Fagus,Ossau,O12,1200,Gabas
O12Fa014,IS,2021,121.6666667,Fagus,Ossau,O12,1200,Gabas
O12Fa015,IS,2021,133.8571429,Fagus,Ossau,O12,1200,Gabas
O12Fa016,IS,2021,127.3684211,Fagus,Ossau,O12,1200,Gabas
O12Fa017,IS,2021,127.4358974,Fagus,Ossau,O12,1200,Gabas
O12Fa018,IS,2021,127.3684211,Fagus,Ossau,O12,1200,Gabas
O12Fa019,IS,2021,127.0588235,Fagus,Ossau,O12,1200,Gabas
O12Fa020,IS,2021,118.9090909,Fagus,Ossau,O12,1200,Gabas
O12Fa024,IS,2021,128,Fagus,Ossau,O12,1200,Gabas
O12Fa023,IS,2021,126.875,Fagus,Ossau,O12,1200,Gabas
O12Fa022,IS,2021,119.4,Fagus,Ossau,O12,1200,Gabas
O12Fa021,IS,2021,136.8823529,Fagus,Ossau,O12,1200,Gabas
O12Qu006,IS,2021,121.3157895,Quercus,Ossau,O12,1200,Gabas
O12Qu007,IS,2021,124.1071429,Quercus,Ossau,O12,1200,Gabas
O12Qu020,IS,2021,119,Quercus,Ossau,O12,1200,Gabas
O12Qu021,IS,2021,124.5,Quercus,Ossau,O12,1200,Gabas
O12Qu005,IS,2021,120.2941176,Quercus,Ossau,O12,1200,Gabas
O12Qu022,IS,2021,126.425,Quercus,Ossau,O12,1200,Gabas
O12Qu004,IS,2021,121.5384615,Quercus,Ossau,O12,1200,Gabas
O12Qu025,IS,2021,120.8333333,Quercus,Ossau,O12,1200,Gabas
O12Qu023,IS,2021,124.5964912,Quercus,Ossau,O12,1200,Gabas
O12Qu024,IS,2021,120.9411765,Quercus,Ossau,O12,1200,Gabas
O12Qu027,IS,2021,116.7142857,Quercus,Ossau,O12,1200,Gabas
O12Qu026,IS,2021,124.1071429,Quercus,Ossau,O12,1200,Gabas
O12Qu003,IS,2021,119.7333333,Quercus,Ossau,O12,1200,Gabas
O12Qu011,IS,2021,124.5,Quercus,Ossau,O12,1200,Gabas
O12Qu028,IS,2021,125.9756098,Quercus,Ossau,O12,1200,Gabas
O12Qu040,IS,2021,124.3103448,Quercus,Ossau,O12,1200,Gabas
O12Qu036,IS,2021,114.7894737,Quercus,Ossau,O12,1200,Gabas
O12Qu037,IS,2021,125.1111111,Quercus,Ossau,O12,1200,Gabas
O12Qu012,IS,2021,123.6538462,Quercus,Ossau,O12,1200,Gabas
O12Qu013,IS,2021,127.1052632,Quercus,Ossau,O12,1200,Gabas
O12Qu039,IS,2021,127.6842105,Quercus,Ossau,O12,1200,Gabas
O12Qu038,IS,2021,116.1555556,Quercus,Ossau,O12,1200,Gabas
O12Qu035,IS,2021,127.0487805,Quercus,Ossau,O12,1200,Gabas
O12Qu032,IS,2021,124.28,Quercus,Ossau,O12,1200,Gabas
O12Qu031,IS,2021,127.5555556,Quercus,Ossau,O12,1200,Gabas
O12Qu034,IS,2021,126.173913,Quercus,Ossau,O12,1200,Gabas
O12Qu033,IS,2021,126.3333333,Quercus,Ossau,O12,1200,Gabas
O12Qu029,IS,2021,126.2439024,Quercus,Ossau,O12,1200,Gabas
O12Qu030,IS,2021,125.9756098,Quercus,Ossau,O12,1200,Gabas
O12Qu002,IS,2021,124.4067797,Quercus,Ossau,O12,1200,Gabas
O12Qu010,IS,2021,124.3103448,Quercus,Ossau,O12,1200,Gabas
O12Qu009,IS,2021,114.8095238,Quercus,Ossau,O12,1200,Gabas
O12Qu008,IS,2021,124.5,Quercus,Ossau,O12,1200,Gabas
O12Qu001,IS,2021,115.3773585,Quercus,Ossau,O12,1200,Gabas
O1Fa023,IS,2021,107.2307692,Fagus,Ossau,O1,100,JosQu
O1Fa024,IS,2021,114,Fagus,Ossau,O1,100,JosQu
O1Fa025,IS,2021,97.6,Fagus,Ossau,O1,100,JosQu
O1Fa026,IS,2021,106.25,Fagus,Ossau,O1,100,JosQu
O1Fa027,IS,2021,106.8421053,Fagus,Ossau,O1,100,JosQu
O1Qu011,IS,2021,77.7,Quercus,Ossau,O1,100,JosQu
O1Fa029,IS,2021,107.9428571,Fagus,Ossau,O1,100,JosQu
O1Fa030,IS,2021,96.75,Fagus,Ossau,O1,100,JosQu
O1Fa031,IS,2021,96.75,Fagus,Ossau,O1,100,JosQu
O1Qu004,IS,2021,92.82758621,Quercus,Ossau,O1,100,JosQu
O1Qu005,IS,2021,70.6875,Quercus,Ossau,O1,100,JosQu
O1Qu013,IS,2021,82.64705882,Quercus,Ossau,O1,100,JosQu
O1Qu003,IS,2021,82.64705882,Quercus,Ossau,O1,100,JosQu
O1Qu014,IS,2021,68.6,Quercus,Ossau,O1,100,JosQu
O1Qu015,IS,2021,90.8,Quercus,Ossau,O1,100,JosQu
O1Qu001,IS,2021,92,Quercus,Ossau,O1,100,JosQu
O1Qu006,IS,2021,85.51111111,Quercus,Ossau,O1,100,JosQu
O1Qu007,IS,2021,84.04347826,Quercus,Ossau,O1,100,JosQu
O1Qu009,IS,2021,83.73913043,Quercus,Ossau,O1,100,JosQu
O1Qu010,IS,2021,81,Quercus,Ossau,O1,100,JosQu
O1Qu008,IS,2021,81,Quercus,Ossau,O1,100,JosQu
O1Fa032,IS,2021,95.43589744,Fagus,Ossau,O1,100,JosQu
O1Fa033,IS,2021,107,Fagus,Ossau,O1,100,JosQu
O1Fa035,IS,2021,96.69565217,Fagus,Ossau,O1,100,JosQu
O1Fa034,IS,2021,95.91666667,Fagus,Ossau,O1,100,JosQu
O1Qu017,IS,2021,84.5,Quercus,Ossau,O1,100,JosQu
O1Qu018,IS,2021,89.27272727,Quercus,Ossau,O1,100,JosQu
O1Qu019,IS,2021,90.10526316,Quercus,Ossau,O1,100,JosQu
O1Qu020,IS,2021,89.10526316,Quercus,Ossau,O1,100,JosQu
O1Qu021,IS,2021,90.30769231,Quercus,Ossau,O1,100,JosQu
O1Qu023,IS,2021,73.66666667,Quercus,Ossau,O1,100,JosQu
O1Qu024,IS,2021,77.41860465,Quercus,Ossau,O1,100,JosQu
O1Qu025,IS,2021,85.51111111,Quercus,Ossau,O1,100,JosQu
O1Qu026,IS,2021,85.51111111,Quercus,Ossau,O1,100,JosQu
O1Qu027,IS,2021,73.66666667,Quercus,Ossau,O1,100,JosQu
O1Qu028,IS,2021,74.4,Quercus,Ossau,O1,100,JosQu
O1Qu029,IS,2021,74.4,Quercus,Ossau,O1,100,JosQu
O1Fa010,IS,2021,106.6666667,Fagus,Ossau,O1,100,JosQu
O1Fa009,IS,2021,106.25,Fagus,Ossau,O1,100,JosQu
O1Fa008,IS,2021,116.5,Fagus,Ossau,O1,100,JosQu
O1Fa007,IS,2021,114.2631579,Fagus,Ossau,O1,100,JosQu
O1Fa006,IS,2021,116.6315789,Fagus,Ossau,O1,100,JosQu
O1Fa005,IS,2021,106,Fagus,Ossau,O1,100,JosQu
O1Fa001,IS,2021,116.6315789,Fagus,Ossau,O1,100,JosQu
O1Fa003,IS,2021,98,Fagus,Ossau,O1,100,JosQu
O8Qu010,IS,2021,110.1875,Quercus,Ossau,O8,800,LH
O8Qu009,IS,2021,112.2307692,Quercus,Ossau,O8,800,LH
O8Qu007,IS,2021,116.3953488,Quercus,Ossau,O8,800,LH
O8Qu008,IS,2021,105.6938776,Quercus,Ossau,O8,800,LH
O8Qu022,IS,2021,113.1818182,Quercus,Ossau,O8,800,LH
O8Qu001,IS,2021,105.8,Quercus,Ossau,O8,800,LH
O8Qu011,IS,2021,106.2727273,Quercus,Ossau,O8,800,LH
O8Qu012,IS,2021,101.25,Quercus,Ossau,O8,800,LH
O8Qu013,IS,2021,116,Quercus,Ossau,O8,800,LH
O8Qu014,IS,2021,111,Quercus,Ossau,O8,800,LH
O8Qu015,IS,2021,96.23529412,Quercus,Ossau,O8,800,LH
O8Qu016,IS,2021,112.3333333,Quercus,Ossau,O8,800,LH
O8Qu017,IS,2021,115.8,Quercus,Ossau,O8,800,LH
O8Qu018,IS,2021,115.2857143,Quercus,Ossau,O8,800,LH
O8Qu019,IS,2021,105.2222222,Quercus,Ossau,O8,800,LH
O8Qu004,IS,2021,112.8461538,Quercus,Ossau,O8,800,LH
O8Qu021,IS,2021,103.6521739,Quercus,Ossau,O8,800,LH
O8Qu002,IS,2021,105.28,Quercus,Ossau,O8,800,LH
O8Qu003,IS,2021,105.2222222,Quercus,Ossau,O8,800,LH
O8Qu020,IS,2021,115.3773585,Quercus,Ossau,O8,800,LH
O8Qu005,IS,2021,100.2941176,Quercus,Ossau,O8,800,LH
O8Qu006,IS,2021,105.3478261,Quercus,Ossau,O8,800,LH
L4Qu009,IS,2021,89,Quercus,Luz,L4,400,Ade
L4Qu033,IS,2021,102.7368421,Quercus,Luz,L4,400,Ade
L4Qu010,IS,2021,87,Quercus,Luz,L4,400,Ade
L4Qu034,IS,2021,99.63333333,Quercus,Luz,L4,400,Ade
L4Qu020,IS,2021,82.46666667,Quercus,Luz,L4,400,Ade
L4Qu062,IS,2021,97.10526316,Quercus,Luz,L4,400,Ade
L4Qu037,IS,2021,105.5,Quercus,Luz,L4,400,Ade
L4Qu027,IS,2021,85.98039216,Quercus,Luz,L4,400,Ade
L4Qu026,IS,2021,85.37931034,Quercus,Luz,L4,400,Ade
L4Qu014,IS,2021,87.52631579,Quercus,Luz,L4,400,Ade
L4Qu015,IS,2021,84.96153846,Quercus,Luz,L4,400,Ade
L4Qu055,IS,2021,91.31578947,Quercus,Luz,L4,400,Ade
L4Qu019,IS,2021,82.82352941,Quercus,Luz,L4,400,Ade
L4Qu056,IS,2021,96.6744186,Quercus,Luz,L4,400,Ade
L4Qu057,IS,2021,96.08888889,Quercus,Luz,L4,400,Ade
L4Qu058,IS,2021,96.63265306,Quercus,Luz,L4,400,Ade
L4Qu031,IS,2021,80.11428571,Quercus,Luz,L4,400,Ade
L4Qu054,IS,2021,105.5,Quercus,Luz,L4,400,Ade
L4Qu032,IS,2021,85.5,Quercus,Luz,L4,400,Ade
L4Qu016,IS,2021,86.2,Quercus,Luz,L4,400,Ade
L4Qu048,IS,2021,106.5,Quercus,Luz,L4,400,Ade
L4Qu049,IS,2021,97.48571429,Quercus,Luz,L4,400,Ade
L4Qu050,IS,2021,96.65217391,Quercus,Luz,L4,400,Ade
L4Qu052,IS,2021,105.2,Quercus,Luz,L4,400,Ade
L4Qu039,IS,2021,97.46153846,Quercus,Luz,L4,400,Ade
L4Qu012,IS,2021,85.64,Quercus,Luz,L4,400,Ade
L4Qu070,IS,2021,96.5625,Quercus,Luz,L4,400,Ade
L4Qu071,IS,2021,96.5625,Quercus,Luz,L4,400,Ade
L4Qu072,IS,2021,94.40677966,Quercus,Luz,L4,400,Ade
L4Qu040,IS,2021,96.25,Quercus,Luz,L4,400,Ade
L4Qu041,IS,2021,95.97560976,Quercus,Luz,L4,400,Ade
L4Qu042,IS,2021,94.5,Quercus,Luz,L4,400,Ade
L4Qu047,IS,2021,96.6744186,Quercus,Luz,L4,400,Ade
L4Qu022,IS,2021,76.76190476,Quercus,Luz,L4,400,Ade
L16Fa034,IS,2021,139.4193548,Fagus,Luz,L16,1600,Peguere
L16Fa033,IS,2021,138.4571429,Fagus,Luz,L16,1600,Peguere
L16Fa032,IS,2021,148.4705882,Fagus,Luz,L16,1600,Peguere
L16Fa031,IS,2021,143.4285714,Fagus,Luz,L16,1600,Peguere
L16Fa039,IS,2021,137.9545455,Fagus,Luz,L16,1600,Peguere
L16Fa012,IS,2021,143.4285714,Fagus,Luz,L16,1600,Peguere
L16Fa013,IS,2021,137.75,Fagus,Luz,L16,1600,Peguere
L16Fa014,IS,2021,148.4705882,Fagus,Luz,L16,1600,Peguere
L16Fa015,IS,2021,148.9230769,Fagus,Luz,L16,1600,Peguere
L16Fa016,IS,2021,148.6666667,Fagus,Luz,L16,1600,Peguere
L16Fa017,IS,2021,143.4285714,Fagus,Luz,L16,1600,Peguere
L16Fa018,IS,2021,148.4705882,Fagus,Luz,L16,1600,Peguere
L16Fa019,IS,2021,142,Fagus,Luz,L16,1600,Peguere
L16Fa001,IS,2021,137.9230769,Fagus,Luz,L16,1600,Peguere
L16Fa020,IS,2021,142,Fagus,Luz,L16,1600,Peguere
L16Fa002,IS,2021,137.5,Fagus,Luz,L16,1600,Peguere
L16Fa003,IS,2021,138.4117647,Fagus,Luz,L16,1600,Peguere
L16Fa004,IS,2021,130.3125,Fagus,Luz,L16,1600,Peguere
L16Fa006,IS,2021,143.4285714,Fagus,Luz,L16,1600,Peguere
L16Fa007,IS,2021,143.4285714,Fagus,Luz,L16,1600,Peguere
L16Fa008,IS,2021,142,Fagus,Luz,L16,1600,Peguere
L16Fa009,IS,2021,139.4,Fagus,Luz,L16,1600,Peguere
L16Fa010,IS,2021,145.6842105,Fagus,Luz,L16,1600,Peguere
L10Qu001,IS,2021,118.3953488,Quercus,Luz,L10,1000,Bourdalats
L10Qu002,IS,2021,116.5555556,Quercus,Luz,L10,1000,Bourdalats
L10Qu003,IS,2021,117,Quercus,Luz,L10,1000,Bourdalats
L10Qu004,IS,2021,114.3333333,Quercus,Luz,L10,1000,Bourdalats
L10Qu022,IS,2021,123.5384615,Quercus,Luz,L10,1000,Bourdalats
L10Qu006,IS,2021,117.6666667,Quercus,Luz,L10,1000,Bourdalats
L10Qu005,IS,2021,116.3846154,Quercus,Luz,L10,1000,Bourdalats
L10Qu013,IS,2021,118.4545455,Quercus,Luz,L10,1000,Bourdalats
L10Qu018,IS,2021,123.5384615,Quercus,Luz,L10,1000,Bourdalats
L10Qu023,IS,2021,116.9322034,Quercus,Luz,L10,1000,Bourdalats
L10Qu024,IS,2021,121,Quercus,Luz,L10,1000,Bourdalats
L10Qu029,IS,2021,123.75,Quercus,Luz,L10,1000,Bourdalats
L10Qu016,IS,2021,121,Quercus,Luz,L10,1000,Bourdalats
L10Qu015,IS,2021,114.6,Quercus,Luz,L10,1000,Bourdalats
L10Qu019,IS,2021,121.6875,Quercus,Luz,L10,1000,Bourdalats
L10Qu025,IS,2021,117.9361702,Quercus,Luz,L10,1000,Bourdalats
L10Qu031,IS,2021,117.3773585,Quercus,Luz,L10,1000,Bourdalats
L10Qu021,IS,2021,118.1555556,Quercus,Luz,L10,1000,Bourdalats
L10Qu026,IS,2021,114.6842105,Quercus,Luz,L10,1000,Bourdalats
L10Qu027,IS,2021,117.0701754,Quercus,Luz,L10,1000,Bourdalats
L10Qu028,IS,2021,116.2,Quercus,Luz,L10,1000,Bourdalats
L10Qu007,IS,2021,126.5,Quercus,Luz,L10,1000,Bourdalats
L10Qu008,IS,2021,126.4067797,Quercus,Luz,L10,1000,Bourdalats
L10Qu009,IS,2021,115.0571429,Quercus,Luz,L10,1000,Bourdalats
L10Qu010,IS,2021,117.0701754,Quercus,Luz,L10,1000,Bourdalats
L10Qu011,IS,2021,118.3333333,Quercus,Luz,L10,1000,Bourdalats
L10Qu012,IS,2021,123.5384615,Quercus,Luz,L10,1000,Bourdalats
L12Qu001,IS,2021,118.5,Quercus,Luz,L12,1200,Gedre_bas
L12Qu002,IS,2021,126,Quercus,Luz,L12,1200,Gedre_bas
L12Qu003,IS,2021,123.1052632,Quercus,Luz,L12,1200,Gedre_bas
L12Qu004,IS,2021,126.5555556,Quercus,Luz,L12,1200,Gedre_bas
L12Qu008,IS,2021,123.5,Quercus,Luz,L12,1200,Gedre_bas
L12Qu007,IS,2021,126,Quercus,Luz,L12,1200,Gedre_bas
L12Qu011,IS,2021,126.7692308,Quercus,Luz,L12,1200,Gedre_bas
L12Qu016,IS,2021,122.6666667,Quercus,Luz,L12,1200,Gedre_bas
L12Qu019,IS,2021,123.3076923,Quercus,Luz,L12,1200,Gedre_bas
L12Qu027,IS,2021,128.4285714,Quercus,Luz,L12,1200,Gedre_bas
L12Qu029,IS,2021,121.625,Quercus,Luz,L12,1200,Gedre_bas
L12Qu028,IS,2021,131,Quercus,Luz,L12,1200,Gedre_bas
L12Qu023,IS,2021,128.1428571,Quercus,Luz,L12,1200,Gedre_bas
L12Qu022,IS,2021,126,Quercus,Luz,L12,1200,Gedre_bas
L12Qu034,IS,2021,121.625,Quercus,Luz,L12,1200,Gedre_bas
L12Qu021,IS,2021,128.25,Quercus,Luz,L12,1200,Gedre_bas
L12Qu024,IS,2021,126.1724138,Quercus,Luz,L12,1200,Gedre_bas
L12Qu012,IS,2021,125.6428571,Quercus,Luz,L12,1200,Gedre_bas
L12Qu014,IS,2021,125.8275862,Quercus,Luz,L12,1200,Gedre_bas
L12Qu010,IS,2021,126,Quercus,Luz,L12,1200,Gedre_bas
L12Qu026,IS,2021,126.3571429,Quercus,Luz,L12,1200,Gedre_bas
L12Qu009,IS,2021,123.1052632,Quercus,Luz,L12,1200,Gedre_bas
L12Qu030,IS,2021,126.2727273,Quercus,Luz,L12,1200,Gedre_bas
L12Qu031,IS,2021,125.6428571,Quercus,Luz,L12,1200,Gedre_bas
L12Qu005,IS,2021,122.1764706,Quercus,Luz,L12,1200,Gedre_bas
L12Qu032,IS,2021,131,Quercus,Luz,L12,1200,Gedre_bas
L12Qu033,IS,2021,123.1052632,Quercus,Luz,L12,1200,Gedre_bas
L13Fa001,IS,2021,128.4358974,Fagus,Luz,L13,1300,Gedre_haut
L13Fa002,IS,2021,128.3684211,Fagus,Luz,L13,1300,Gedre_haut
L13Qu001,IS,2021,133.25,Quercus,Luz,L13,1300,Gedre_haut
L13Qu002,IS,2021,125.8275862,Quercus,Luz,L13,1300,Gedre_haut
L13Qu003,IS,2021,133.1176471,Quercus,Luz,L13,1300,Gedre_haut
L13Qu005,IS,2021,125.8275862,Quercus,Luz,L13,1300,Gedre_haut
L13Qu006,IS,2021,128.1794872,Quercus,Luz,L13,1300,Gedre_haut
L13Qu007,IS,2021,134.7894737,Quercus,Luz,L13,1300,Gedre_haut
L13Qu008,IS,2021,128.3170732,Quercus,Luz,L13,1300,Gedre_haut
L13Qu009,IS,2021,135.5,Quercus,Luz,L13,1300,Gedre_haut
L13Qu010,IS,2021,126,Quercus,Luz,L13,1300,Gedre_haut
L13Qu022,IS,2021,126,Quercus,Luz,L13,1300,Gedre_haut
L13Qu011,IS,2021,137.1363636,Quercus,Luz,L13,1300,Gedre_haut
L13Qu023,IS,2021,132.0588235,Quercus,Luz,L13,1300,Gedre_haut
L13Qu033,IS,2021,132.0588235,Quercus,Luz,L13,1300,Gedre_haut
L13Qu013,IS,2021,133,Quercus,Luz,L13,1300,Gedre_haut
L13Qu030,IS,2021,129.8235294,Quercus,Luz,L13,1300,Gedre_haut
L13Qu025,IS,2021,128.0731707,Quercus,Luz,L13,1300,Gedre_haut
L13Qu014,IS,2021,125.8275862,Quercus,Luz,L13,1300,Gedre_haut
L13Qu031,IS,2021,128.6470588,Quercus,Luz,L13,1300,Gedre_haut
L13Qu032,IS,2021,127.5217391,Quercus,Luz,L13,1300,Gedre_haut
L13Qu017,IS,2021,123.3076923,Quercus,Luz,L13,1300,Gedre_haut
L13Qu016,IS,2021,126,Quercus,Luz,L13,1300,Gedre_haut
L13Qu015,IS,2021,128.2972973,Quercus,Luz,L13,1300,Gedre_haut
L13Qu018,IS,2021,126.5555556,Quercus,Luz,L13,1300,Gedre_haut
L13Qu027,IS,2021,126.1724138,Quercus,Luz,L13,1300,Gedre_haut
L13Qu019,IS,2021,126.1724138,Quercus,Luz,L13,1300,Gedre_haut
L13Qu020,IS,2021,125.9152542,Quercus,Luz,L13,1300,Gedre_haut
L13Qu021,IS,2021,132.0588235,Quercus,Luz,L13,1300,Gedre_haut
L12Fa037,IS,2021,NaN,Fagus,Luz,L12,1200,Gedre_bas
L12Fa034,IS,2021,130.5217391,Fagus,Luz,L12,1200,Gedre_bas
L12Fa004,IS,2021,128.25,Fagus,Luz,L12,1200,Gedre_bas
